00:4e:35:de:d7:43,00:4e:35:de:d7:44,00:4e:35:de:e1:00,00:4e:35:de:e1:03,00:4e:35:de:e1:04,00:4e:35:df:0e:00,00:4e:35:df:0e:03,00:4e:35:df:0e:04,20:a6:cd:42:0b:e3,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:a0,38:17:c3:19:45:a3,38:17:c3:19:45:a4,38:17:c3:19:55:40,38:17:c3:19:55:43,38:17:c3:19:55:44,38:17:c3:19:71:83,38:17:c3:19:d7:60,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:1e:ff:00,38:17:c3:1e:ff:03,38:17:c3:1e:ff:04,38:17:c3:1f:01:80,38:17:c3:1f:01:83,38:17:c3:1f:01:84,38:17:c3:1f:08:40,38:17:c3:1f:08:43,38:17:c3:1f:08:44,38:17:c3:1f:0e:00,38:17:c3:1f:0e:03,38:17:c3:1f:0e:04,38:17:c3:1f:22:20,38:17:c3:1f:22:23,38:17:c3:1f:22:24,44:48:c1:a5:82:20,44:48:c1:a5:82:23,44:48:c1:a5:82:24,4a:e7:29:57:38:4a,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,80:8d:b7:55:25:e4,80:8d:b7:55:25:e5,80:8d:b7:55:29:c0,80:8d:b7:55:29:c3,80:8d:b7:55:35:00,80:8d:b7:55:35:03,80:8d:b7:55:35:04,80:8d:b7:55:35:05,80:8d:b7:55:39:c0,80:8d:b7:55:39:c3,80:8d:b7:55:39:c4,80:8d:b7:55:3a:40,80:8d:b7:55:3a:43,80:8d:b7:55:3a:44,80:8d:b7:55:4d:00,80:8d:b7:55:4d:03,80:8d:b7:55:4d:04,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:23,a8:bd:27:4c:bd:24,b0:be:76:f8:30:5e,b4:5d:50:e1:92:23,b4:5d:50:e1:92:24,b4:5d:50:e1:92:25,b4:5d:50:e1:96:43,b6:2b:4b:a2:a6:ed,ea:9e:b4:53:24:54,RP
-96.0,-89.0,-85.0,-92.0,-92.0,-80.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-91.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-81.0,-81.0,-79.0,-79.0,-78.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP0
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-91.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP1
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-90.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP2
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-90.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP3
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-90.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP4
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-90.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP5
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-80.0,-80.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-89.0,-91.0,-89.0,-62.0,-62.0,-61.0,-90.0,-89.0,-88.0,-85.0,-86.0,-86.0,-91.0,-82.0,-88.0,-82.0,-83.0,-87.0,-87.0,-84.0,-75.0,-84.0,-77.0,-75.0,-88.0,-88.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-95.0,-58.0,RP6
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-100.0,-86.0,-89.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-92.0,-91.0,-91.0,-61.0,-61.0,-61.0,-89.0,-91.0,-89.0,-63.0,-62.0,-62.0,-89.0,-89.0,-88.0,-76.0,-77.0,-77.0,-91.0,-83.0,-88.0,-83.0,-83.0,-87.0,-87.0,-84.0,-83.0,-84.0,-84.0,-75.0,-82.0,-82.0,-82.0,-82.0,-82.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-90.0,-79.0,-86.0,-86.0,-97.0,-100.0,-56.0,RP7
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-100.0,-86.0,-85.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-100.0,-86.0,-92.0,-71.0,-71.0,-71.0,-89.0,-91.0,-89.0,-58.0,-57.0,-57.0,-89.0,-89.0,-88.0,-76.0,-77.0,-77.0,-91.0,-84.0,-84.0,-84.0,-85.0,-100.0,-100.0,-72.0,-79.0,-79.0,-79.0,-75.0,-77.0,-77.0,-80.0,-80.0,-80.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-87.0,-79.0,-86.0,-86.0,-97.0,-100.0,-54.0,RP8
-96.0,-89.0,-85.0,-92.0,-92.0,-83.0,-90.0,-90.0,-95.0,-100.0,-86.0,-85.0,-87.0,-86.0,-87.0,-83.0,-83.0,-82.0,-83.0,-82.0,-82.0,-82.0,-100.0,-86.0,-92.0,-71.0,-71.0,-71.0,-89.0,-91.0,-89.0,-58.0,-57.0,-57.0,-89.0,-89.0,-88.0,-76.0,-77.0,-77.0,-91.0,-84.0,-84.0,-84.0,-85.0,-100.0,-100.0,-72.0,-79.0,-79.0,-79.0,-75.0,-77.0,-77.0,-80.0,-80.0,-80.0,-81.0,-83.0,-83.0,-79.0,-77.0,-76.0,-87.0,-79.0,-86.0,-86.0,-97.0,-100.0,-54.0,RP9
