18:60:24:00:92:11,3a:1a:52:d2:44:de,50:76:af:99:d7:d6,68:54:5a:cf:c0:fd,92:cd:b6:87:12:20,ac:23:16:e9:a9:23,ac:23:16:e9:a9:24,ac:23:16:e9:a9:25,ac:23:16:eb:7a:a1,ac:23:16:eb:7a:a2,ac:23:16:eb:7a:a3,ac:23:16:eb:83:a2,ac:23:16:eb:83:a3,ac:23:16:eb:83:a4,ac:23:16:eb:83:e2,ac:23:16:eb:83:e3,ac:23:16:eb:83:e4,ac:23:16:eb:84:22,ac:23:16:eb:84:23,ac:23:16:eb:84:24,ac:23:16:eb:8a:22,ac:23:16:eb:8a:23,ac:23:16:eb:8a:24,ac:23:16:eb:8c:a2,ac:23:16:eb:91:61,ac:23:16:eb:91:62,ac:23:16:eb:91:63,ac:23:16:eb:9d:a2,ac:23:16:eb:9d:a3,ac:23:16:eb:9d:a4,ac:23:16:eb:9e:62,ac:23:16:eb:9e:63,ac:23:16:eb:9e:64,ac:23:16:eb:9f:a2,ac:23:16:eb:9f:a3,ac:23:16:eb:9f:a4,ac:23:16:eb:a0:22,ac:23:16:eb:a0:23,ac:23:16:eb:a0:24,ac:23:16:eb:a6:22,ac:23:16:eb:aa:21,ac:23:16:eb:aa:22,ac:23:16:eb:aa:23,ac:23:16:eb:d3:a2,ac:23:16:eb:d3:a3,ac:23:16:eb:d3:a4,ac:23:16:eb:db:a2,ac:23:16:eb:db:a3,ac:23:16:eb:db:a4,ac:23:16:eb:dc:62,ac:23:16:eb:dc:63,ac:23:16:eb:dc:64,ac:23:16:eb:e8:e2,ac:23:16:eb:e8:e3,ac:23:16:eb:e8:e4,ac:23:16:eb:ea:a1,ac:23:16:eb:ea:a2,ac:23:16:eb:ea:a3,ac:23:16:eb:ef:62,ac:23:16:eb:ef:63,ac:23:16:eb:ef:64,d4:20:b0:28:00:d3,d4:20:b0:28:00:d5,d4:20:b0:28:00:d7,RP
-94.0,-94.0,-88.0,-91.0,-76.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-79.0,-86.0,-80.0,-73.0,-73.0,-73.0,-89.0,-88.0,-79.0,-83.0,-78.0,-78.0,-77.0,-86.0,-88.0,-78.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-60.0,-60.0,-60.0,-85.0,-86.0,-85.0,-86.0,-78.0,-78.0,-78.0,-48.0,-49.0,-47.0,-64.0,-64.0,-64.0,-70.0,-70.0,-70.0,-86.0,-86.0,-85.0,-80.0,-80.0,-80.0,-66.0,-70.0,-69.0,RP0
-94.0,-94.0,-88.0,-91.0,-76.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-79.0,-86.0,-80.0,-73.0,-73.0,-73.0,-89.0,-88.0,-79.0,-83.0,-78.0,-78.0,-77.0,-86.0,-88.0,-78.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-60.0,-60.0,-60.0,-85.0,-86.0,-85.0,-86.0,-78.0,-78.0,-78.0,-48.0,-49.0,-49.0,-64.0,-64.0,-64.0,-72.0,-70.0,-70.0,-86.0,-86.0,-85.0,-80.0,-80.0,-80.0,-66.0,-70.0,-69.0,RP1
-94.0,-94.0,-88.0,-91.0,-76.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-79.0,-86.0,-80.0,-73.0,-73.0,-73.0,-89.0,-88.0,-79.0,-83.0,-78.0,-78.0,-77.0,-86.0,-88.0,-78.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-60.0,-60.0,-60.0,-85.0,-86.0,-85.0,-86.0,-78.0,-78.0,-78.0,-48.0,-49.0,-49.0,-64.0,-64.0,-64.0,-72.0,-70.0,-70.0,-86.0,-86.0,-85.0,-80.0,-80.0,-80.0,-66.0,-70.0,-69.0,RP2
-94.0,-94.0,-85.0,-91.0,-76.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-79.0,-86.0,-80.0,-77.0,-77.0,-77.0,-89.0,-88.0,-79.0,-83.0,-78.0,-78.0,-77.0,-86.0,-88.0,-78.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-57.0,-57.0,-57.0,-85.0,-86.0,-85.0,-86.0,-78.0,-78.0,-78.0,-47.0,-49.0,-49.0,-65.0,-64.0,-64.0,-72.0,-70.0,-70.0,-86.0,-86.0,-85.0,-78.0,-78.0,-78.0,-66.0,-70.0,-69.0,RP3
-94.0,-94.0,-82.0,-91.0,-77.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-79.0,-86.0,-80.0,-76.0,-77.0,-77.0,-89.0,-88.0,-79.0,-84.0,-78.0,-78.0,-77.0,-86.0,-88.0,-78.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-58.0,-57.0,-57.0,-85.0,-86.0,-85.0,-86.0,-76.0,-78.0,-81.0,-48.0,-49.0,-49.0,-65.0,-64.0,-64.0,-72.0,-70.0,-70.0,-86.0,-86.0,-85.0,-78.0,-78.0,-78.0,-66.0,-70.0,-69.0,RP4
-94.0,-94.0,-82.0,-91.0,-77.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-75.0,-86.0,-76.0,-76.0,-77.0,-77.0,-89.0,-88.0,-79.0,-84.0,-78.0,-78.0,-77.0,-86.0,-88.0,-78.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-58.0,-57.0,-57.0,-85.0,-86.0,-85.0,-86.0,-76.0,-78.0,-81.0,-48.0,-49.0,-49.0,-65.0,-64.0,-64.0,-72.0,-70.0,-70.0,-86.0,-86.0,-85.0,-78.0,-78.0,-78.0,-66.0,-70.0,-69.0,RP5
-94.0,-94.0,-82.0,-91.0,-77.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-75.0,-86.0,-76.0,-76.0,-77.0,-77.0,-89.0,-88.0,-79.0,-84.0,-81.0,-81.0,-81.0,-86.0,-88.0,-76.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-58.0,-57.0,-57.0,-85.0,-86.0,-85.0,-86.0,-76.0,-78.0,-81.0,-48.0,-49.0,-49.0,-65.0,-64.0,-64.0,-68.0,-67.0,-67.0,-86.0,-85.0,-85.0,-78.0,-78.0,-78.0,-66.0,-70.0,-69.0,RP6
-94.0,-94.0,-82.0,-91.0,-77.0,-76.0,-86.0,-85.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-75.0,-86.0,-76.0,-76.0,-77.0,-77.0,-86.0,-88.0,-79.0,-84.0,-81.0,-81.0,-81.0,-86.0,-88.0,-76.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-58.0,-57.0,-57.0,-85.0,-85.0,-85.0,-85.0,-75.0,-78.0,-81.0,-48.0,-49.0,-49.0,-65.0,-64.0,-64.0,-68.0,-67.0,-67.0,-86.0,-85.0,-85.0,-78.0,-78.0,-78.0,-66.0,-70.0,-69.0,RP7
-94.0,-94.0,-82.0,-91.0,-77.0,-76.0,-81.0,-80.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-75.0,-86.0,-76.0,-76.0,-77.0,-77.0,-86.0,-88.0,-79.0,-84.0,-81.0,-81.0,-81.0,-86.0,-78.0,-76.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-58.0,-57.0,-57.0,-85.0,-85.0,-85.0,-85.0,-75.0,-78.0,-81.0,-48.0,-49.0,-49.0,-65.0,-64.0,-64.0,-64.0,-67.0,-67.0,-85.0,-85.0,-85.0,-78.0,-78.0,-78.0,-66.0,-70.0,-69.0,RP8
-94.0,-94.0,-81.0,-91.0,-76.0,-100.0,-81.0,-80.0,-82.0,-82.0,-82.0,-79.0,-79.0,-86.0,-75.0,-86.0,-76.0,-75.0,-76.0,-75.0,-86.0,-88.0,-100.0,-84.0,-81.0,-81.0,-81.0,-86.0,-78.0,-76.0,-86.0,-86.0,-87.0,-79.0,-87.0,-87.0,-60.0,-62.0,-62.0,-85.0,-85.0,-85.0,-85.0,-75.0,-78.0,-81.0,-48.0,-49.0,-49.0,-66.0,-64.0,-64.0,-64.0,-67.0,-67.0,-85.0,-85.0,-85.0,-76.0,-76.0,-76.0,-65.0,-70.0,-69.0,RP9
